City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
475,Aleppo,SY,64.44,broken clouds,36.25,37.5,Rychło. Hotel
476,Muret,FR,55.4,scattered clouds,43.33,1.25,Logis Hôtel l'Arche de Noé
478,Shatin,AM,51.01,few clouds,39.84,45.3,Sofya B&B
486,Nipawin,CA,42.8,overcast clouds,53.37,-104.0,Tobin Lake Motel
490,Nolinsk,RU,27.73,clear sky,57.56,49.94,Gostinitsa
491,Balclutha,NZ,54.0,broken clouds,-46.23,169.75,Hotel South Otago
492,Sistranda,NO,53.6,moderate rain,63.73,8.83,Hotell Frøya
498,Miram Shah,PK,58.91,clear sky,33.01,70.07,Bachelor Hostel
500,Praia Da Vitoria,PT,64.0,broken clouds,38.73,-27.07,Hotel Branco I
502,Hamilton,US,39.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
504,Uglezavodsk,RU,51.8,broken clouds,47.32,142.62,Six Acres Bed & Breakfast
505,Harrisburg,US,48.2,clear sky,40.27,-76.88,Hilton Harrisburg
506,Holme,DK,57.2,moderate rain,56.11,10.17,Helnan Marselis Hotel
510,Orlovskiy,RU,54.27,light rain,46.87,42.06,ТеТ-А-ТеТ
511,Mayo,US,55.4,scattered clouds,38.89,-76.51,Resorts Resource Group International
512,Severo-Kurilsk,RU,43.63,clear sky,50.68,156.12,Kak Doma
513,Naples,IT,61.0,broken clouds,40.83,14.25,Renaissance Naples Hotel Mediterraneo
517,Shaoxing,CN,60.8,mist,30.01,120.57,Holiday Inn Shaoxing
520,Morris,US,52.0,light rain,40.83,-74.53,Parsippany Inn and Suites Morris Plains
521,Bollnas,SE,48.51,overcast clouds,61.35,16.39,Grand Hotel
522,Ayan,RU,27.09,snow,56.45,138.17,Gostinitsa
524,Kuruman,ZA,60.01,clear sky,-27.45,23.43,Cornerstone Guest House
525,Itanhandu,BR,54.7,scattered clouds,-22.3,-44.93,Hotel casarão
527,Vytegra,RU,29.88,clear sky,61.01,36.45,Wardenclyffe Volgo&Balt
528,Teruel,ES,53.6,clear sky,40.67,-0.67,La Parra
