City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
311,Touros,BR,-5.2,-35.46,86.0,55,40,16.11,scattered clouds
312,Karaton,ID,-6.34,106.1,82.99,83,20,1.12,few clouds
313,High Level,CA,58.52,-117.14,20.07,95,100,7.56,overcast clouds
314,Marystown,CA,47.17,-55.15,34.9,77,94,15.95,overcast clouds
315,Menongue,AO,-14.66,17.69,81.54,36,85,8.9,overcast clouds
316,Kemijarvi,FI,66.71,27.43,27.79,95,0,4.9,clear sky
317,Los Llanos De Aridane,ES,28.66,-17.92,75.2,73,40,13.87,scattered clouds
318,Kalmunai,LK,7.42,81.82,81.39,78,45,5.73,light rain
319,Tuatapere,NZ,-46.13,167.68,55.0,96,100,5.01,light rain
320,Aleksandrovskiy Zavod,RU,50.92,117.94,30.27,91,100,3.38,snow
321,Balabac,PH,7.99,117.06,82.45,80,100,13.22,overcast clouds
322,Myanaung,MM,18.28,95.32,74.68,91,28,4.23,scattered clouds
323,Tank,PK,32.22,70.38,71.51,21,0,1.5,clear sky
324,Gombong,ID,-7.61,109.51,78.13,89,100,1.48,light rain
325,Roma,US,43.21,-75.46,36.0,69,20,5.82,few clouds
326,Amravati,IN,20.93,77.75,76.75,50,35,3.6,scattered clouds
327,Awbari,LY,26.59,12.78,78.35,28,0,10.92,clear sky
328,Fairview,US,40.81,-74.0,39.99,93,90,9.17,moderate rain
329,Khabary,RU,53.63,79.53,34.38,98,100,8.88,overcast clouds
330,Staicele,LV,57.84,24.75,50.0,100,90,2.24,overcast clouds
331,Gisborne,NZ,-38.65,178.0,63.0,73,100,3.0,overcast clouds
332,Batemans Bay,AU,-35.72,150.18,63.0,95,70,1.99,light rain
333,Ljungby,SE,56.83,13.94,48.0,93,40,3.36,scattered clouds
334,Wyndham,US,37.7,-77.61,54.0,76,90,6.93,overcast clouds
335,Berdigestyakh,RU,62.1,126.7,-3.84,90,98,3.27,overcast clouds
336,Moerai,PF,-22.43,-151.33,70.48,86,100,20.76,light rain
337,Nabire,ID,-3.37,135.48,77.81,87,100,4.32,light rain
338,Urucara,BR,-2.54,-57.76,86.77,67,99,0.63,moderate rain
339,Oban,GB,56.41,-5.47,51.8,62,40,18.34,shower rain
340,Altay,CN,47.87,88.12,25.74,89,100,2.82,overcast clouds
341,Adre,TD,13.47,22.2,92.34,18,52,3.44,broken clouds
342,Muli,MV,2.92,73.57,82.99,76,76,12.46,light rain
343,San Quintin,MX,30.48,-115.95,48.99,22,28,5.99,scattered clouds
344,Cururupu,BR,-1.83,-44.87,88.65,54,50,9.84,scattered clouds
345,Manicore,BR,-5.81,-61.3,84.2,83,40,2.24,scattered clouds
346,Sinegorye,RU,62.08,150.48,15.12,93,100,2.93,overcast clouds
347,Carmelo,UY,-33.99,-58.29,61.0,59,75,8.05,broken clouds
348,Vila Velha,BR,-20.33,-40.29,84.2,70,75,12.75,broken clouds
349,Lorengau,PG,-2.02,147.27,81.09,75,100,3.29,heavy intensity rain
350,Kaduna,NG,10.52,7.44,93.7,19,31,8.14,scattered clouds
351,Champua,IN,22.08,85.67,73.29,59,3,2.55,clear sky
352,Nizhniy Tsasuchey,RU,50.52,115.13,32.49,91,100,7.96,snow
353,Sabattus,US,44.12,-70.11,33.8,50,75,14.99,broken clouds
354,Alekseyevka,RU,50.63,38.69,50.86,94,100,7.11,light rain
355,Harnoli,PK,32.28,71.55,75.81,18,0,5.19,clear sky
356,Zhanaozen,KZ,43.3,52.8,56.14,31,0,17.76,clear sky
357,Sumenep,ID,-7.02,113.87,82.8,74,98,4.03,overcast clouds
358,Rio Verde De Mato Grosso,BR,-18.92,-54.84,81.66,63,96,4.9,overcast clouds
359,Sorong,ID,-0.88,131.25,80.71,80,0,10.87,clear sky
360,Rio Tercero,AR,-32.17,-64.11,61.0,51,81,10.0,broken clouds
361,Talara,PE,-4.58,-81.27,62.6,93,90,19.46,light intensity drizzle
362,Kropotkin,RU,45.44,40.58,69.01,62,51,6.89,light rain
363,Nuuk,GL,64.18,-51.72,24.8,68,40,6.93,scattered clouds
364,Poum,NC,-20.23,164.02,77.34,79,38,13.58,scattered clouds
